,true,first_step,second_step
gamma_age,0.1,0.09772813778130468,0.09850343654283637
gamma_female,0.24,0.238761095058933,0.24009557225967804
gamma_f_col,0.4,0.396121966107127,0.3983991755265229
lambda,0.25,0.24254514068233204,0.25170428816954954
beta,10.0,14.998826566555898,9.359368436992057
delta,0.85,0.8609766770654781,0.8486271176033366
lambda_1,0.10000000000000009,0.10352181774781011,0.10033140577288613
lambda_2,0.15000000000000002,0.1390233229345219,0.15137288239666336
avg_initial_bad_epsilon_share,0.0,,
avg_fixed_point_iterations,15.9,,
max_fixed_point_iterations,17.0,,
n_gpa_clipped,1.0,,
share_gpa_clipped,3.3333333333333335e-05,,
objective,,4.261868630083135e-06,0.00018539475556954708
success,,True,True
message,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
iterations,,10,20
